Retailer,Address,CITY,ZIP,County,Game,Year,Month,Sales
QUIKTRIP 635,11150 ST CHARLES ROCK RD,ST ANN,63074,ST. LOUIS COUNTY,TRIPLE PLAY,2016,6,0
OAKVILLE BP,5639 TELEGRAPH RD,ST LOUIS,63129,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,38
DISCOUNT SMOKES & LIQUOR,3401 E RED BRIDGE RD,KANSAS CITY,64137,JACKSON,TRIPLE PLAY,2016,1,10
GAS MART 26,1110 SALISBURY ST,ST LOUIS,63107,ST. LOUIS CITY,TRIPLE PLAY,2016,1,38
CASEYS 3280,328 E BROADWAY ST,BOLIVAR,65613,POLK,TRIPLE PLAY,2016,1,28
CASEYS 3283,540 TRUMAN RD,OSCEOLA,64776,ST. CLAIR,TRIPLE PLAY,2016,1,96
CASEYS 3283,540 TRUMAN RD,OSCEOLA,64776,ST. CLAIR,TRIPLE PLAY,2016,2,0
CASEYS 3325,1111 BUCKNER TARNSEY RD,GRAIN VALLEY,64029,JACKSON,TRIPLE PLAY,2016,1,66
CASEYS 3325,1111 BUCKNER TARNSEY RD,GRAIN VALLEY,64029,JACKSON,TRIPLE PLAY,2016,2,0
CASEYS 3282,1350 W COLLEGE ST,MARSHALL,65340,SALINE,TRIPLE PLAY,2016,1,50
CASEYS 3282,1350 W COLLEGE ST,MARSHALL,65340,SALINE,TRIPLE PLAY,2016,2,0
DELLWOOD MARKET,1620 CHAMBERS RD,ST LOUIS,63136,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,8
MIDWAY LITTLE GENERAL,6751 HIGHWAY 40 W,COLUMBIA,65202,BOONE,TRIPLE PLAY,2016,1,54
